anio,decada,pico_radiacion_sostenida,sequedad_extrema
2025,2020,341.83,50.5
2024,2020,362.21,22.67
2023,2020,361.46,21.46
2022,2020,337.04,50.83
2021,2020,336.67,60.58
2020,2020,345.46,49.21
2019,2010,350.67,51.17
2018,2010,336.21,32.21
2017,2010,319.33,64.46
2016,2010,316.25,62.04
2015,2010,349.71,56.92
2014,2010,329.38,55.46
2013,2010,357.33,42.92
2012,2010,365.92,28.92
2011,2010,355.96,37.33
2010,2010,331.25,38.92
2009,2000,349.46,48.5
2008,2000,348.08,56.13
2007,2000,360.25,41.54
2006,2000,363.63,50.17
2005,2000,343.54,44.79
2004,2000,343.13,54.96
2003,2000,328.92,53.79
2002,2000,359.79,41.67
2001,2000,336.25,56.67
2000,2000,351.29,50
1999,1990,352.83,48.67
1998,1990,357.5,33.88
1997,1990,355,52.54
1996,1990,322.33,50.79
1995,1990,358.71,49.71
1994,1990,345.63,44.83
1993,1990,359.71,32.88
1992,1990,358.17,48
1991,1990,343.21,46.79
1990,1990,328.63,53.71
1989,1980,354.96,45.88
1988,1980,345.88,52.5
1987,1980,340.75,54.79
1986,1980,349.46,56.33
1985,1980,347.17,54.42
1984,1980,334.04,56.21
1983,1980,358.58,29.67
1982,1980,358.67,30.5
1981,1980,329.38,57.88
1980,1980,364.29,40.17
